timestamp,open,high,low,close,volume,symbol,timeframe
2025-08-29 15:00:00,108198.66,108471.43,108188.39,108241.06,236.04459,BTC/USDT,15m
2025-08-29 15:15:00,108241.07,108727.38,108241.06,108357.99,854.78632,BTC/USDT,15m
2025-08-29 15:30:00,108358.0,108600.0,108210.76,108472.22,355.02889,BTC/USDT,15m
2025-08-29 15:45:00,108472.23,108582.0,108278.36,108386.23,320.89143,BTC/USDT,15m
2025-08-29 16:00:00,108386.23,108690.49,108140.0,108632.0,282.54834,BTC/USDT,15m
2025-08-29 16:15:00,108632.0,108769.23,108486.47,108503.35,297.16998,BTC/USDT,15m
2025-08-29 16:30:00,108503.34,108832.0,108500.02,108752.4,221.91915,BTC/USDT,15m
2025-08-29 16:45:00,108752.39,108827.63,108562.0,108705.67,159.35514,BTC/USDT,15m
2025-08-29 17:00:00,108705.68,108725.5,108218.0,108227.99,164.28841,BTC/USDT,15m
2025-08-29 17:15:00,108228.0,108545.46,108155.73,108398.21,193.6762,BTC/USDT,15m
2025-08-29 17:30:00,108398.21,108612.83,108332.0,108443.99,96.41704,BTC/USDT,15m
2025-08-29 17:45:00,108444.0,108586.65,108426.62,108466.01,74.94248,BTC/USDT,15m
2025-08-29 18:00:00,108466.01,108500.0,108295.05,108341.51,90.74438,BTC/USDT,15m
2025-08-29 18:15:00,108341.51,108398.1,108101.07,108126.96,113.73551,BTC/USDT,15m
2025-08-29 18:30:00,108126.96,108245.8,108102.68,108144.01,65.01565,BTC/USDT,15m
2025-08-29 18:45:00,108144.01,108220.0,108108.0,108145.4,58.94647,BTC/USDT,15m
2025-08-29 19:00:00,108145.4,108466.0,107934.24,108364.37,433.37049,BTC/USDT,15m
2025-08-29 19:15:00,108364.37,108744.0,108360.01,108643.13,127.34185,BTC/USDT,15m
2025-08-29 19:30:00,108643.14,108734.24,108381.79,108535.73,79.5444,BTC/USDT,15m
2025-08-29 19:45:00,108535.74,108635.64,108172.53,108212.01,146.62989,BTC/USDT,15m
2025-08-29 20:00:00,108212.01,108263.02,107710.0,107874.0,708.32447,BTC/USDT,15m
2025-08-29 20:15:00,107874.0,108039.49,107748.48,107967.99,282.51192,BTC/USDT,15m
2025-08-29 20:30:00,107968.0,107968.0,107623.0,107624.0,330.81298,BTC/USDT,15m
2025-08-29 20:45:00,107624.0,107876.08,107506.0,107770.78,541.76897,BTC/USDT,15m
2025-08-29 21:00:00,107770.78,107891.53,107463.9,107886.54,249.38938,BTC/USDT,15m
2025-08-29 21:15:00,107886.54,107962.4,107740.0,107962.4,127.54735,BTC/USDT,15m
2025-08-29 21:30:00,107962.39,108416.82,107962.39,108415.15,188.1068,BTC/USDT,15m
2025-08-29 21:45:00,108415.16,108470.75,108238.76,108450.01,79.58014,BTC/USDT,15m
2025-08-29 22:00:00,108450.0,108480.49,108288.49,108288.5,73.14057,BTC/USDT,15m
2025-08-29 22:15:00,108288.5,108434.0,108275.13,108339.4,67.64694,BTC/USDT,15m
2025-08-29 22:30:00,108339.39,108400.0,108207.79,108240.0,63.86766,BTC/USDT,15m
2025-08-29 22:45:00,108240.01,108378.97,108207.8,108378.97,43.08559,BTC/USDT,15m
2025-08-29 23:00:00,108378.98,108492.0,108341.89,108416.08,69.80979,BTC/USDT,15m
2025-08-29 23:15:00,108416.09,108525.4,108402.79,108443.36,54.33071,BTC/USDT,15m
2025-08-29 23:30:00,108443.36,108549.99,108443.35,108540.0,49.50797,BTC/USDT,15m
2025-08-29 23:45:00,108539.99,108540.0,108322.79,108377.4,83.66516,BTC/USDT,15m
2025-08-30 00:00:00,108377.4,108396.65,108250.95,108250.96,179.47774,BTC/USDT,15m
2025-08-30 00:15:00,108250.96,108410.73,108223.26,108307.0,177.83401,BTC/USDT,15m
2025-08-30 00:30:00,108307.0,108317.19,108139.49,108147.73,160.22098,BTC/USDT,15m
2025-08-30 00:45:00,108147.72,108313.47,108147.72,108300.71,94.68082,BTC/USDT,15m
2025-08-30 01:00:00,108300.7,108350.0,108256.59,108303.74,96.33566,BTC/USDT,15m
2025-08-30 01:15:00,108303.73,108303.73,108022.57,108036.0,146.79048,BTC/USDT,15m
2025-08-30 01:30:00,108035.99,108123.8,108006.11,108035.05,92.5486,BTC/USDT,15m
2025-08-30 01:45:00,108035.06,108035.06,107350.1,107447.97,366.8078,BTC/USDT,15m
2025-08-30 02:00:00,107447.97,107785.61,107384.0,107774.78,223.0951,BTC/USDT,15m
2025-08-30 02:15:00,107774.78,107859.44,107599.88,107824.53,193.45282,BTC/USDT,15m
2025-08-30 02:30:00,107824.53,107942.87,107824.52,107934.57,180.11232,BTC/USDT,15m
2025-08-30 02:45:00,107934.58,107951.77,107782.0,107782.01,184.61312,BTC/USDT,15m
2025-08-30 03:00:00,107782.01,108060.0,107769.48,108041.29,232.02009,BTC/USDT,15m
2025-08-30 03:15:00,108041.29,108307.69,108000.0,108231.2,317.96934,BTC/USDT,15m
2025-08-30 03:30:00,108231.2,108418.27,108231.19,108341.09,358.45582,BTC/USDT,15m
2025-08-30 03:45:00,108341.1,108436.21,108334.0,108436.2,239.72266,BTC/USDT,15m
